Y	19456865	19458923	2	2	1	293	0	50
Y	19459080	19459288	2	2	1	276	2	50
Y	19459367	19459958	2	2	1	0	2	3
Y	19459367	19465105	2	4	1	105	2	49
Y	19459367	19466443	2	2	1	145	0	50
Y	19465228	19466455	2	2	1	89	0	49
Y	19466708	19467063	0	0	1	132	0	49
Y	19467375	19473904	2	2	1	78	0	49
Y	19467388	19473904	0	0	1	127	0	49
Y	19474145	19474639	2	2	1	89	0	50
Y	19474251	19474649	1	5	1	95	0	49
Y	19474899	19480164	2	2	1	97	0	50
Y	19474904	19480168	2	2	1	66	0	49
Y	19480295	19480690	0	0	1	98	0	48
Y	19480295	19503031	2	2	1	63	0	50
Y	19480739	19481666	0	0	1	80	0	48
