Y	2841628	2842164	+
Y	2841974	2842164	+
Y	2842243	2844076	+
Y	2844258	2845645	+
Y	2845744	2854599	+
Y	2854772	2865087	+
Y	2854772	2928863	+
Y	2865246	2866792	+
Y	2882362	2883140	-
Y	2928986	2931710	+
Y	2929043	2929369	-
Y	2930367	2931070	-
Y	2935447	2953908	+
Y	2935770	2953908	+
Y	2935770	2961073	+
Y	2935770	2975094	+
Y	2953998	2961073	+
Y	2953998	2975094	+
Y	2961647	2975094	+
Y	2966940	2981837	-
Y	2975245	2975510	+
Y	2975655	2976669	+
Y	2975655	2977939	+
Y	2976823	2977939	+
Y	2978081	2978809	+
Y	2981928	3002312	-
Y	3001924	3002312	-
Y	3002402	3002537	-
Y	3003218	3079283	+
Y	3079342	3096994	+
Y	3097057	3102084	+
Y	3579128	3579223	+
Y	4036721	4099985	+
Y	4994227	4997506	-
Y	4997681	4999388	-
Y	5000606	5002687	+
Y	5000606	5030898	+
Y	5000606	5031905	+
Y	5002759	5031905	+
Y	5002759	5032669	+
Y	5031068	5031905	+
Y	5032012	5032669	+
Y	5032729	5056888	+
Y	5057460	5098214	+
Y	5100708	5104343	+
Y	5100708	5501056	+
Y	5501256	5581774	+
Y	5581799	5737271	+
Y	6242755	6243294	-
Y	6243441	6243552	-
Y	6243441	6243553	-
Y	6243644	6244971	-
Y	6246356	6246616	+
Y	6246755	6247355	+
Y	6247434	6247561	+
Y	6247674	6247774	+
Y	6247921	6248015	+
Y	6247921	6248026	+
Y	6248109	6248235	+
Y	6248109	6248802	+
Y	6258393	6261943	-
Y	6262030	6263833	-
Y	6262103	6263601	-
Y	6263748	6263833	-
Y	6267070	6267675	+
Y	6267754	6267881	+
Y	6267993	6268091	+
Y	6268235	6268341	+
Y	6268431	6269128	+
Y	6273662	6273767	-
Y	6273913	6274001	-
Y	6303990	6304598	-
Y	6306372	6307422	+
Y	6307501	6307695	+
Y	6307812	6307897	+
Y	6308038	6309499	+
Y	6328230	6338744	+
Y	6338895	6340894	+
Y	6340995	6341801	+
Y	6341913	6342309	+
Y	6342421	6342530	+
Y	6342613	6343021	+
Y	6357438	6358683	-
Y	6358827	6361327	-
Y	6390676	6394099	+
Y	6394260	6401122	+
Y	6401232	6403587	+
Y	6403726	6411306	+
Y	6406924	6408146	-
Y	6408345	6408464	-
Y	6408544	6411373	-
Y	6411531	6412222	-
Y	6412372	6419764	-
Y	6419852	6422327	-
Y	6443636	6446972	+
Y	6449505	6450445	+
Y	6450608	6452914	+
Y	6452990	6453677	+
Y	6454155	6455972	+
Y	6454155	6456071	+
Y	6456186	6457158	+
Y	6456186	6457660	+
Y	6457415	6457660	+
Y	6470950	6472812	-
Y	6471221	6472812	-
Y	6473018	6473494	-
Y	6493072	6496584	-
Y	6866079	6868036	-
Y	6868463	6868731	-
Y	6868777	6868867	-
Y	6868777	6870005	-
Y	6868910	6870005	-
Y	6870054	6872554	-
Y	6872621	6873971	-
Y	6900849	6901146	+
Y	6910983	6912087	+
Y	6912173	6978212	+
Y	6912173	6995803	+
Y	6978244	6995803	+
Y	6978244	7021448	+
Y	6995899	7021448	+
Y	7021538	7025034	+
Y	7025143	7042979	+
Y	7043126	7063896	+
Y	7064150	7070195	+
Y	7070329	7070719	+
Y	7070862	7071559	+
Y	7071624	7071732	+
Y	7071831	7074559	+
Y	7074621	7080731	+
Y	7080854	7085897	+
Y	7085973	7086289	+
Y	7086418	7087266	+
Y	7087433	7090088	+
Y	7090191	7091471	+
Y	7100828	7106392	-
Y	7274479	7303936	+
Y	7304106	7325905	+
Y	7326170	7328026	+
Y	7326170	7341114	+
Y	7333109	7341114	+
Y	7341235	7356134	+
Y	7356231	7367355	+
Y	7367434	7371742	+
Y	7371890	7375711	+
Y	7672043	7672449	-
Y	7672539	7672627	-
Y	7672739	7675365	-
Y	7675472	7675910	-
Y	7679211	7680266	+
Y	7680333	7680527	+
Y	7680621	7680719	+
Y	7680865	7680982	+
Y	7687804	7687896	-
Y	7688043	7688140	-
Y	7688252	7688382	-
Y	7688457	7689076	-
Y	7690838	7692159	+
Y	7692278	7692363	+
Y	7692534	7692631	+
Y	7699488	7701186	-
Y	7713098	7721855	-
Y	7722059	7729456	-
Y	7729841	7749362	-
Y	7743028	7776520	-
Y	7749472	7776520	-
Y	7776708	7776833	-
Y	7777029	7805494	-
Y	7805080	7809860	+
Y	7805605	7809153	-
Y	7845882	7846180	-
Y	7906059	7907113	-
Y	7933016	7933693	-
Y	7933800	7936634	-
Y	7936705	7937570	-
Y	8070119	8070601	-
Y	8127239	8129232	+
Y	8129236	8131647	+
Y	8131826	8133684	+
Y	8133801	8134125	+
Y	8134163	8142225	+
Y	8142339	8143207	+
Y	8143315	8143393	+
Y	8143488	8143901	+
Y	8264766	8265174	-
Y	8265263	8265333	-
Y	8265445	8266314	-
Y	8266430	8271279	-
Y	8271430	8276553	-
Y	8276657	8277080	-
Y	8280336	8281700	+
Y	8281811	8281896	+
Y	8282043	8282160	+
Y	8413455	8413799	-
Y	8638407	8644131	+
Y	8644328	8644678	+
Y	8683433	8683720	-
Y	8704560	8705102	+
Y	8783407	8783887	-
Y	8784204	8788999	-
Y	8789303	8794860	-
Y	8794945	8817345	-
Y	8901259	8901369	-
Y	8901514	8901600	-
Y	8901740	8902990	-
Y	8906333	8907093	+
Y	8907198	8909882	+
Y	8910061	8911945	+
Y	8912099	8914092	+
Y	8914205	8915083	+
Y	8915195	8915275	+
Y	8915365	8915770	+
Y	8971895	8971986	-
Y	8972032	8973726	-
Y	9030731	9031054	+
Y	9031230	9034672	+
Y	9034789	9036456	+
Y	9036531	9037675	+
Y	9037768	9039799	+
Y	9183786	9185601	+
Y	9189753	9190187	-
Y	9191073	9193591	-
Y	9193716	9199091	-
Y	9199282	9201393	-
Y	9201601	9204396	-
Y	9311432	9312015	-
Y	9312127	9312624	-
Y	9312736	9313172	-
Y	9313283	9313709	-
Y	9313821	9314775	-
Y	9314891	9316938	-
Y	9317092	9318991	-
Y	9319170	9322184	-
Y	9322289	9322760	-
Y	9330057	9334750	-
Y	9337597	9337875	+
Y	9338014	9338620	+
Y	9338699	9338826	+
Y	9338939	9339039	+
Y	9339186	9339280	+
Y	9339186	9339291	+
Y	9339374	9339500	+
Y	9339374	9340067	+
Y	9349640	9353189	-
Y	9353276	9355080	-
Y	9353349	9354848	-
Y	9354995	9355080	-
Y	9355191	9355386	-
Y	9355191	9356513	-
Y	9357930	9358190	+
Y	9358329	9358935	+
Y	9359014	9359141	+
Y	9359254	9359354	+
Y	9359501	9359595	+
Y	9359501	9359606	+
Y	9359689	9359815	+
Y	9359689	9360382	+
Y	9369917	9373465	-
Y	9373552	9375360	-
Y	9373625	9375128	-
Y	9375011	9375128	-
Y	9375275	9375360	-
Y	9375471	9375666	-
Y	9375732	9375884	-
Y	9375931	9376142	-
Y	9376175	9376359	-
Y	9376393	9376800	-
Y	9378607	9379213	+
Y	9379292	9379419	+
Y	9379532	9379632	+
Y	9379779	9379884	+
Y	9379967	9380660	+
Y	9390251	9393805	-
Y	9393892	9395706	-
Y	9393965	9395474	-
Y	9395357	9395474	-
Y	9395621	9395706	-
Y	9395817	9396012	-
Y	9396078	9396230	-
Y	9396277	9396488	-
Y	9396521	9396705	-
Y	9396739	9397146	-
Y	9398554	9398814	+
Y	9398953	9399559	+
Y	9399638	9399765	+
Y	9399878	9399978	+
Y	9400125	9400219	+
Y	9400125	9400230	+
Y	9400313	9400439	+
Y	9400313	9401006	+
Y	9458803	9462357	-
Y	9462444	9464243	-
Y	9462517	9464011	-
Y	9463894	9464011	-
Y	9464158	9464243	-
Y	9464317	9464317	-
Y	9464354	9464549	-
Y	9464615	9464767	-
Y	9464814	9465024	-
Y	9465057	9465241	-
Y	9465275	9465682	-
Y	9467487	9468093	+
Y	9468172	9468299	+
Y	9468412	9468512	+
Y	9468659	9468753	+
Y	9468659	9468764	+
Y	9468847	9469538	+
Y	9479113	9482663	-
Y	9482823	9484320	-
Y	9484467	9484552	-
Y	9484663	9484853	-
Y	9484919	9485099	-
Y	9485152	9486004	-
Y	9487817	9488423	+
Y	9488502	9488629	+
Y	9488742	9488842	+
Y	9488989	9489094	+
Y	9489177	9489870	+
Y	9499401	9502950	-
Y	9503037	9504839	-
Y	9503110	9504607	-
Y	9504490	9504607	-
Y	9504754	9504839	-
Y	9504950	9505144	-
Y	9505222	9506272	-
Y	9507815	9507832	+
Y	9508099	9508705	+
Y	9508784	9508911	+
Y	9509024	9509124	+
Y	9509271	9509376	+
Y	9509459	9510152	+
Y	9519726	9523275	-
Y	9523362	9525166	-
Y	9523435	9524934	-
Y	9524817	9524934	-
Y	9525081	9525166	-
Y	9525277	9525472	-
Y	9525603	9525668	-
Y	9525696	9526177	-
Y	9526198	9526596	-
Y	9528412	9529018	+
Y	9529097	9529224	+
Y	9529337	9529437	+
Y	9529584	9529678	+
Y	9529584	9529689	+
Y	9529772	9529898	+
Y	9529772	9530465	+
Y	9545007	9545124	-
Y	9545271	9545356	-
Y	9545467	9545662	-
Y	9545725	9546791	-
Y	9548581	9549187	+
Y	9549266	9549393	+
Y	9549506	9549606	+
Y	9549752	9549846	+
Y	9549940	9550659	+
Y	9610872	9611283	-
Y	9611368	9611452	-
Y	9611564	9612420	-
Y	9612535	9615089	-
Y	9615237	9617152	-
Y	9617328	9620626	-
Y	9620731	9621167	-
Y	9624546	9625569	+
Y	9625657	9625861	+
Y	9625975	9626060	+
Y	9626202	9626311	+
Y	9665402	9668922	+
Y	9691236	9691712	+
Y	9691918	9693509	+
Y	9691918	9693780	+
Y	9707070	9707315	-
Y	9707070	9708544	-
Y	9707572	9708544	-
Y	9708659	9710575	-
Y	9708758	9710575	-
Y	9711053	9711740	-
Y	9711816	9714122	-
Y	9714285	9715225	-
Y	9717758	9721094	-
Y	9742402	9744877	+
Y	9744965	9752348	+
