738
ENST00000516032	2784748	2784852	2784852	1	1	0
ENST00000383070	2786854	2787698	2784852	2	1	1
ENST00000454281	2789826	2790327	2787698	1	1	2
ENST00000430735	2827981	2828217	2790327	1	1	3
ENST00000250784	2841485	2867267	2828217	1	7	4
ENST00000430575	2841919	2866861	2867267	1	7	11
ENST00000477725	2854095	2866955	2867267	1	3	18
ENST00000515575	2854729	2931999	2867267	1	3	21
ENST00000444242	2881682	2883651	2931999	2	2	24
ENST00000414182	2929000	2931119	2931999	2	3	26
ENST00000611750	2934405	2934770	2931999	2	1	29
ENST00000383052	2935280	2982505	2934770	1	8	30
ENST00000625061	2935388	2980346	2982505	1	7	38
ENST00000155093	2935476	2982504	2982505	1	8	45
ENST00000469869	2935499	2978052	2982505	1	4	53
ENST00000443793	2935504	2961285	2982505	1	3	57
ENST00000449237	2935650	2981145	2982505	1	6	60
ENST00000417305	2966843	3002625	2982505	2	3	66
ENST00000478783	2977818	2979349	3002625	1	2	69
ENST00000414667	2995066	2995272	3002625	2	1	71
ENST00000431145	3001627	3002570	3002625	2	3	72
ENST00000444263	3002911	3097216	3002625	1	3	75
ENST00000425031	3002997	3102271	3097216	1	4	78
ENST00000455855	3293807	3294825	3102271	1	1	82
ENST00000404428	3549651	3549809	3294825	2	1	83
ENST00000321217	3579040	3580040	3549809	1	2	84
ENST00000559055	3579114	3580040	3580040	1	1	86
ENST00000427677	3682804	3683867	3580040	1	1	87
ENST00000458209	3777996	3779545	3683867	2	1	88
ENST00000405035	3851223	3852868	3779545	2	1	89
ENST00000439651	3866305	3866721	3852868	2	1	90
ENST00000426699	4036496	4100319	3866721	1	2	91
ENST00000517091	4174984	4175089	4100319	2	1	93
ENST00000436888	4801684	4802847	4175089	2	1	94
ENST00000622595	4993857	4997718	4802847	2	2	95
ENST00000618284	4994089	4999649	4997718	2	3	97
ENST00000333703	5000225	5105443	4999649	1	6	100
ENST00000622698	5000295	5105458	5105443	1	7	106
ENST00000620615	5000389	5031946	5105458	1	3	113
ENST00000621505	5000399	5057087	5105458	1	4	116
ENST00000516659	5019075	5019265	5105458	1	1	120
ENST00000215473	5056087	5101436	5105458	1	2	121
ENST00000362095	5056089	5104699	5105458	1	3	123
ENST00000400457	5056089	5742223	5105458	1	5	126
ENST00000430062	5207214	5208068	5742223	2	1	131
ENST00000422633	5337744	5338963	5742223	2	1	132
ENST00000388836	5573144	5574430	5742223	1	1	133
ENST00000615757	5634479	5634654	5742223	2	1	134
ENST00000411983	5793299	5793736	5742223	2	1	135
ENST00000645906	5887503	5888739	5793736	1	1	136
ENST00000430307	6158801	6159264	5888739	1	1	137
ENST00000451467	6242445	6243609	6159264	2	3	138
ENST00000442790	6243294	6245282	6243609	2	3	141
ENST00000429039	6246222	6248891	6245282	1	7	144
ENST00000320701	6246222	6249012	6248891	1	6	151
ENST00000383042	6246268	6249011	6249012	1	6	157
ENST00000470569	6246268	6249018	6249012	1	4	163
ENST00000464674	6247622	6249003	6249018	1	3	167
ENST00000451062	6256266	6263952	6249018	2	3	170
ENST00000452103	6258332	6263934	6263952	2	4	173
ENST00000505707	6262005	6263934	6263952	2	3	177
ENST00000442607	6266592	6269274	6263952	1	6	180
ENST00000613408	6273578	6274064	6269274	2	3	186
ENST00000418461	6303956	6305073	6274064	2	2	189
ENST00000445200	6306041	6307919	6305073	1	4	191
ENST00000437993	6307709	6309586	6307919	1	3	195
ENST00000418671	6328051	6343322	6309586	1	7	198
ENST00000439525	6357218	6361412	6343322	2	3	205
ENST00000250776	6390430	6411563	6361412	1	5	208
ENST00000450591	6406243	6424144	6411563	2	7	213
ENST00000421353	6443433	6447076	6424144	1	2	220
ENST00000457100	6449467	6457905	6447076	1	6	222
ENST00000276770	6449467	6457905	6457905	1	7	228
ENST00000449828	6453904	6457905	6457905	1	3	235
ENST00000455570	6470772	6473629	6457905	2	3	238
ENST00000328819	6471030	6473629	6473629	2	3	241
ENST00000425857	6492975	6496756	6473629	2	2	244
ENST00000450329	6520462	6520928	6496756	1	1	246
ENST00000413200	6718961	6719179	6520928	2	1	247
ENST00000610687	6789152	6789343	6719179	1	1	248
ENST00000433995	6837706	6838251	6789343	1	1	249
ENST00000215479	6865917	6874026	6838251	2	6	250
ENST00000383036	6866072	6872607	6874026	2	6	256
ENST00000431631	6900752	6901371	6874026	1	2	262
ENST00000383032	6910685	7091682	6901371	1	19	264
ENST00000355162	6910685	7091682	7091682	1	18	283
ENST00000346432	6910685	7091682	7091682	1	18	301
ENST00000620503	6918681	6920790	7091682	1	1	319
ENST00000434155	7100732	7106501	7091682	2	2	320
ENST00000528056	7273971	7381547	7106501	1	8	322
ENST00000533551	7274312	7371867	7381547	1	7	330
ENST00000516824	7324296	7324594	7381547	2	1	337
ENST00000495163	7326066	7328402	7381547	1	2	338
ENST00000472666	7333029	7356222	7381547	1	3	340
ENST00000516187	7341530	7341641	7381547	1	1	343
ENST00000516346	7378671	7378778	7381547	1	1	344
ENST00000516663	7423053	7423157	7381547	2	1	345
ENST00000619838	7656967	7657351	7423157	1	1	346
ENST00000457961	7671742	7676023	7657351	2	5	347
ENST00000439805	7678898	7681027	7676023	1	5	352
ENST00000421279	7687738	7689547	7681027	2	5	357
ENST00000421675	7690510	7692677	7689547	1	4	362
ENST00000437686	7699356	7701246	7692677	2	2	366
ENST00000455527	7712984	7776706	7701246	2	5	368
ENST00000442584	7742594	7809260	7776706	2	5	373
ENST00000413466	7804923	7810682	7809260	1	2	378
ENST00000621243	7845484	7846453	7810682	2	2	380
ENST00000415010	7853685	7854875	7846453	2	1	382
ENST00000614118	7905535	7907302	7854875	2	2	383
ENST00000451913	7913421	7914089	7907302	2	1	385
ENST00000422208	7932996	7937639	7914089	2	4	386
ENST00000425158	7990986	7991805	7937639	2	1	390
ENST00000439586	8068895	8070722	7991805	2	2	391
ENST00000425544	8127129	8144202	8070722	1	9	393
ENST00000418221	8264448	8277187	8144202	2	7	402
ENST00000431340	8280197	8282208	8277187	1	4	409
ENST00000447526	8350930	8352142	8282208	1	1	413
ENST00000417434	8363535	8363958	8352142	2	1	414
ENST00000454315	8364031	8365149	8363958	1	1	415
ENST00000445453	8371662	8372029	8365149	1	1	416
ENST00000452458	8372240	8372709	8372029	1	1	417
ENST00000432201	8413036	8414053	8372709	2	2	418
ENST00000403990	8418790	8419899	8414053	2	1	420
ENST00000621514	8517363	8517747	8419899	2	1	421
ENST00000413486	8638293	8644841	8517747	1	3	422
ENST00000438677	8683369	8683877	8644841	2	2	425
ENST00000453955	8704471	8705282	8683877	1	2	427
ENST00000253470	8783309	8817381	8705282	2	5	429
ENST00000432613	8901202	8903275	8817381	2	4	434
ENST00000455422	8906223	8916072	8903275	1	8	438
ENST00000311828	8909947	8914154	8916072	1	3	446
ENST00000614700	8931068	8931453	8916072	2	1	449
ENST00000434308	8971750	8974094	8931453	2	3	450
ENST00000453312	9030593	9039987	8974094	1	6	453
ENST00000454543	9166084	9167701	9039987	2	1	459
ENST00000438971	9183693	9185802	9167701	1	2	460
ENST00000424401	9189628	9204610	9185802	2	6	462
ENST00000420090	9230914	9231246	9204610	1	1	468
ENST00000382670	9311129	9322868	9231246	2	10	469
ENST00000610661	9325798	9326046	9322868	1	1	479
ENST00000434487	9329879	9334831	9326046	2	2	480
ENST00000426950	9337463	9340277	9334831	1	6	482
ENST00000640033	9337509	9339392	9340277	1	6	488
ENST00000383008	9337509	9340276	9340277	1	6	494
ENST00000466036	9337509	9340283	9340277	1	4	500
ENST00000482082	9338887	9340268	9340283	1	3	504
ENST00000426661	9347510	9355400	9340283	2	4	507
ENST00000432394	9349578	9355181	9355400	2	4	511
ENST00000450145	9354845	9356813	9355400	2	3	515
ENST00000287721	9357796	9360592	9356813	1	6	518
ENST00000383005	9357842	9359373	9360592	1	5	524
ENST00000383000	9357842	9360591	9360592	1	6	529
ENST00000477879	9357842	9360598	9360592	1	4	535
ENST00000436159	9359202	9360583	9360598	1	3	539
ENST00000433321	9367802	9375680	9360598	2	4	542
ENST00000436801	9369856	9375461	9375680	2	4	546
ENST00000432892	9374968	9377091	9375680	2	8	550
