3764
2784748	2784852	1	0	0
2786854	2787698	2	1	1
2789826	2790327	1	2	2
2827981	2828217	1	3	3
2841485	2841626	1	4	4
2841919	2841972	1	4	5
2842164	2842241	1	4	4
2842164	2842241	1	4	5
2844076	2844256	1	4	4
2844076	2844256	1	4	5
2845645	2845742	1	4	4
2845645	2845742	1	4	5
2854095	2854770	1	4	6
2854599	2854770	1	4	4
2854599	2854770	1	4	5
2854729	2854770	1	4	7
2865087	2865244	1	4	4
2865087	2865244	1	4	5
2865087	2865244	1	4	6
2866792	2866861	1	4	5
2866792	2866955	1	4	6
2866792	2867267	1	4	4
2881682	2882360	2	5	8
2883140	2883651	2	5	8
2928863	2928984	1	4	7
2929000	2929041	2	6	9
2929369	2930365	2	6	9
2931070	2931119	2	6	9
2931710	2931999	1	4	7
2934405	2934770	2	7	10
2935280	2935445	1	8	11
2935388	2935445	1	8	12
2935476	2935768	1	8	13
2935499	2935768	1	8	14
2935504	2935768	1	8	15
2935650	2935768	1	8	16
2953908	2953996	1	8	11
2953908	2953996	1	8	12
2953908	2953996	1	8	13
2953908	2953996	1	8	15
2961073	2961285	1	8	15
2961073	2961645	1	8	11
2961073	2961645	1	8	13
2961073	2961645	1	8	16
2966843	2966938	2	9	18
2975094	2975243	1	8	11
2975094	2975243	1	8	12
2975094	2975243	1	8	13
2975094	2975243	1	8	14
2975094	2975243	1	8	16
2975510	2975653	1	8	11
2975510	2975653	1	8	12
2975510	2975653	1	8	13
2975510	2975653	1	8	14
2975510	2975653	1	8	16
2976669	2976821	1	8	11
2976669	2976821	1	8	12
2976669	2976821	1	8	13
2977818	2978079	1	8	17
2977939	2978052	1	8	14
2977939	2978079	1	8	11
2977939	2978079	1	8	12
2977939	2978079	1	8	13
2977939	2978079	1	8	16
2978809	2979349	1	8	17
2978809	2980346	1	8	12
2978809	2981145	1	8	16
2978809	2982504	1	8	13
2978809	2982505	1	8	11
2981837	2981926	2	9	18
2995066	2995272	2	10	20
3001627	3001922	2	9	19
3002312	3002400	2	9	19
3002312	3002625	2	9	18
3002537	3002570	2	9	19
3002911	3003216	1	11	21
3002997	3003216	1	11	22
3079283	3079340	1	11	21
3079283	3079340	1	11	22
3096994	3097055	1	11	22
3096994	3097216	1	11	21
3102084	3102271	1	11	22
3293807	3294825	1	12	23
3549651	3549809	2	13	24
3579040	3579126	1	14	25
3579114	3580040	1	14	26
3579223	3580040	1	14	25
3682804	3683867	1	15	27
3777996	3779545	2	16	28
3851223	3852868	2	17	29
3866305	3866721	2	18	30
4036496	4036719	1	19	31
4099985	4100319	1	19	31
4174984	4175089	2	20	32
4801684	4802847	2	21	33
4993857	4994225	2	22	34
4994089	4994225	2	22	35
4997506	4997679	2	22	35
4997506	4997718	2	22	34
4999388	4999649	2	22	35
5000225	5000604	1	23	36
5000295	5000604	1	23	37
5000389	5000604	1	23	38
5000399	5000604	1	23	39
5002687	5002757	1	23	38
5002687	5002757	1	23	39
5019075	5019265	1	24	43
5030898	5031066	1	23	37
5031905	5031946	1	23	38
5031905	5032010	1	23	36
5031905	5032010	1	23	37
5032669	5032727	1	23	36
5032669	5032727	1	23	37
5032669	5032727	1	23	39
5056087	5057458	1	23	40
5056089	5057458	1	23	41
5056089	5057458	1	23	42
5056888	5057087	1	23	39
5056888	5057458	1	23	36
5056888	5057458	1	23	37
5098214	5100706	1	23	36
5098214	5100706	1	23	37
5098214	5100706	1	23	41
5098214	5100706	1	23	42
5098214	5101436	1	23	40
5104343	5104699	1	23	41
5104343	5105443	1	23	36
5104343	5105458	1	23	37
5207214	5208068	2	25	44
5337744	5338963	2	26	45
5501056	5501254	1	23	42
5573144	5574430	1	27	46
5581774	5581797	1	23	42
5634479	5634654	2	28	47
5737271	5742223	1	23	42
5793299	5793736	2	29	48
5887503	5888739	1	30	49
6158801	6159264	1	31	50
6242445	6242753	2	32	51
6243294	6243439	2	32	51
6243294	6243439	2	32	52
6243552	6243642	2	32	52
6243553	6243609	2	32	51
6244971	6245282	2	32	52
6246222	6246354	1	33	53
6246222	6246753	1	33	54
6246268	6246753	1	33	55
6246268	6246753	1	33	56
6246616	6246753	1	33	53
6247355	6247432	1	33	53
6247355	6247432	1	33	54
