Y	18582349	18587411	2	2	1	0	209	50
Y	18582357	18582653	0	0	1	0	310	50
Y	18582721	18583909	2	2	1	0	297	50
Y	18584061	18587411	2	2	1	0	256	50
Y	18587549	18588130	2	2	1	0	206	49
Y	18587549	18588605	2	2	1	0	249	50
Y	18588245	18588605	2	2	1	0	171	50
Y	18588707	18599219	2	2	1	0	230	50
Y	18599332	18599706	2	2	1	217	0	50
Y	18600334	18602380	2	2	1	0	106	50
Y	18602493	18603026	1	5	1	0	95	50
Y	18603157	18604023	0	0	1	0	100	50
Y	18604160	18605747	0	0	1	23	74	50
Y	18605822	18607457	0	0	1	111	0	49
Y	18607586	18609337	0	0	1	123	0	50
Y	18609445	18622065	2	2	1	0	117	50
Y	18622238	18627019	2	2	1	0	112	50
Y	18627157	18628972	0	0	1	0	86	50
Y	18691428	18693243	0	0	1	0	86	50
Y	18693381	18698162	1	1	1	0	112	50
Y	18698335	18710957	1	1	1	0	117	50
Y	18714655	18716242	0	0	1	0	74	50
Y	18716379	18717245	0	0	1	0	100	50
Y	18717376	18717909	2	6	1	0	95	50
Y	18718022	18720068	1	1	1	0	106	50
Y	18721183	18731696	1	1	1	0	230	50
Y	18731798	18732158	1	1	1	0	171	50
Y	18731798	18732854	1	1	1	0	249	50
Y	18732273	18732854	1	1	1	0	206	49
Y	18732992	18736342	1	1	1	0	256	50
Y	18732992	18738054	1	1	1	0	209	50
Y	18736494	18737682	1	1	1	0	297	50
Y	18737750	18738046	0	0	1	0	310	50
