Y	19706346	19706440	2	2	1	219	0	50
Y	19706641	19706793	2	2	1	158	0	50
Y	19706864	19707146	2	2	1	194	0	50
Y	19707747	19707933	2	2	1	134	0	49
Y	19708072	19708243	2	2	1	142	0	50
Y	19708424	19708874	2	2	1	122	0	50
Y	19709014	19709450	2	2	1	137	0	50
Y	19709810	19710375	2	2	1	62	0	49
Y	19710261	19710375	2	2	1	53	0	47
Y	19710473	19715351	2	2	1	51	0	50
Y	19710473	19715583	2	2	1	63	0	50
Y	19715500	19715614	2	2	1	51	0	48
Y	19715740	19715822	2	2	1	115	0	50
Y	19716005	19716278	2	2	1	94	0	48
Y	19716474	19716595	2	2	1	78	0	50
Y	19716716	19720871	2	2	1	43	0	47
Y	19721035	19721129	2	2	1	54	0	49
Y	19721312	19731771	2	2	1	42	0	49
Y	19731931	19732045	2	2	1	54	0	49
Y	19732166	19732583	2	2	1	47	0	50
Y	19732743	19735351	2	2	1	45	0	49
Y	19735498	19735620	2	2	1	59	0	50
Y	19735751	19739527	2	2	1	47	0	50
Y	19739663	19741317	2	2	1	47	0	50
Y	19741489	19741734	2	2	1	60	0	48
Y	19741858	19743161	2	2	1	50	0	50
Y	19743240	19744384	2	2	1	47	0	50
Y	19744554	19744670	2	2	1	38	0	48
